year,month,day,ao_index_cdas
2000,12,24,-4.216135979
2000,12,25,-4.343064308
2000,12,26,-4.207569599
2000,12,27,-4.239311695
2000,12,28,-4.635211468
2000,12,29,-4.688072205
2000,12,30,-4.115035534
2000,12,31,-3.606380939
2001,1,1,-3.078543186
2001,1,2,-2.636380196
2001,1,3,-2.621663809
2001,1,4,-2.340773582
2001,1,5,-2.517064095
2001,1,6,-2.641320467
2001,1,7,-2.783672094
2001,1,8,-2.437434435
2001,1,9,-2.221924782
2001,1,10,-1.918811202
2001,1,11,-1.867317319
2001,1,12,-1.298404455
2001,1,13,-0.139878973
2001,1,14,0.458350718
2001,1,15,0.383579493
2001,1,16,0.299159467
2001,1,17,-0.154283047
2001,1,18,-0.171554714
2001,1,19,0.449450433
2001,1,20,0.195505753
2001,1,21,0.100386836
2001,1,22,0.380786121
2001,1,23,0.742638648
2001,1,24,1.146390438
2001,1,25,1.210462451
2001,1,26,0.814394116
2001,1,27,0.119617127
2001,1,28,-0.886745512
2001,1,29,-1.238597512
2001,1,30,-1.895558715
2001,1,31,-2.120332718
2001,2,1,-1.076279521
2001,2,2,-0.47882697
2001,2,3,-0.893871903
2001,2,4,-1.278688788
2001,2,5,-1.447286844
2001,2,6,-1.781606078
2001,2,7,-1.105972528
2001,2,8,-0.361571282
2001,2,9,0.517192125
2001,2,10,0.86353147
2001,2,11,1.462902188
2001,2,12,2.361510515
2001,2,13,2.883570433
2001,2,14,2.939019203
2001,2,15,2.461843491
2001,2,16,1.860702753
2001,2,17,1.260082722
2001,2,18,0.494196147
2001,2,19,0.805801868
2001,2,20,0.654295206
2001,2,21,-0.535246491
2001,2,22,-2.381797314
2001,2,23,-3.372719288
2001,2,24,-4.035172939
2001,2,25,-4.854388714
2001,2,26,-4.604569435
2001,2,27,-3.987654686
2001,2,28,-3.179305553
2001,3,1,-3.429551601
2001,3,2,-3.244131327
2001,3,3,-3.429551601
2001,3,4,-3.395988464
2001,3,5,-3.358317852
2001,3,6,-3.205866575
2001,3,7,-2.402302265
2001,3,8,-1.398858547
2001,3,9,-0.102027833
2001,3,10,0.908265352
2001,3,11,1.574870586
2001,3,12,1.574870586
2001,3,13,1.041851759
2001,3,14,-0.426410794
2001,3,15,-1.880454063
2001,3,16,-2.437177896
2001,3,17,-2.35010004
2001,3,18,-2.299634695
2001,3,19,-2.304713726
2001,3,20,-2.194261074
2001,3,21,-2.190960407
2001,3,22,-2.810927868
2001,3,23,-3.567354918
2001,3,24,-4.201621056
2001,3,25,-3.951990604
2001,3,26,-2.603575468
2001,3,27,-1.05825913
2001,3,28,-0.146464586
2001,3,29,0.657130539
2001,3,30,1.103886247
2001,3,31,1.103886247
2001,4,1,0.915584981
2001,11,1,2.433699131
2001,11,2,2.727792978
2001,11,3,2.66459775
2001,11,4,2.199128389
2001,11,5,1.902803063
2001,11,6,1.350510955
2001,11,7,0.928266525
2001,11,8,0.524513006
2001,11,9,1.734862328
2001,11,10,2.190418005
2001,11,11,1.214941502
2001,11,12,0.536851585
2001,11,13,0.574625671
2001,11,14,0.723433495
2001,11,15,0.901410103
2001,11,16,0.764093935
2001,11,17,0.241791397
2001,11,18,-0.184980348
2001,11,19,-0.052451443
2001,11,20,0.226581499
2001,11,21,0.067511812
2001,11,22,0.336693496
2001,11,23,0.269602597
2001,11,24,0.081241898
2001,11,25,0.548907518
2001,11,26,0.403381884
2001,11,27,-0.690514565
2001,11,28,-0.667967021
2001,11,29,-0.161058053
2001,11,30,-0.107853606
2001,12,1,-0.070492215
2001,12,2,-0.182573989
2001,12,3,-0.006003036
2001,12,4,-0.345396101
2001,12,5,-0.97394067
2001,12,6,-1.439709425
2001,12,7,-1.639851451
2001,12,8,-1.508778572
2001,12,9,-0.939552069
2001,12,10,-0.77705425
2001,12,11,-0.786361217
2001,12,12,-0.82313931
2001,12,13,-0.641401768
2001,12,14,-0.850592256
2001,12,15,-1.81130743
2001,12,16,-2.452796698
2001,12,17,-2.162373781
2001,12,18,-1.765651345
2001,12,19,-1.474503636
2001,12,20,-1.044710279
2001,12,21,-0.405642152
2001,12,22,-0.096691839
2001,12,23,-0.250656784
2001,12,24,-1.109040022
2001,12,25,-1.338126421
2001,12,26,-1.644316077
2001,12,27,-2.754909277
2001,12,28,-3.292803526
2001,12,29,-3.035462141
2001,12,30,-2.535120726
2001,12,31,-1.381337643
2002,1,1,-0.184503049
2002,1,2,0.038189314
2002,1,3,-0.034665108
2002,1,4,-0.488030195
2002,1,5,-0.22754401
2002,1,6,0.915308416
2002,1,7,1.711354494
2002,1,8,2.366938114
2002,1,9,2.905810833
2002,1,10,3.015096426
2002,1,11,2.054797649
2002,1,12,1.256572008
2002,1,13,1.384897113
2002,1,14,1.363591075
2002,1,15,1.379918098
2002,1,16,1.140193343
2002,1,17,1.071155548
2002,1,18,1.682091117
2002,1,19,2.012698174
2002,1,20,1.988397717
2002,1,21,1.321602583
2002,1,22,0.935375333
2002,1,23,0.916013896
2002,1,24,1.032923102
2002,1,25,1.245450616
2002,1,26,1.559773684
2002,1,27,1.680076838
2002,1,28,1.753532052
2002,1,29,1.778314114
2002,1,30,1.878724694
2002,1,31,1.841343641
2002,2,1,1.855576038
2002,2,2,1.789726615
2002,2,3,1.208961248
2002,2,4,0.879062533
2002,2,5,0.786645472
2002,2,6,0.240653619
2002,2,7,0.5355317
2002,2,8,0.81776756
2002,2,9,0.346176893
2002,2,10,0.189314157
2002,2,11,0.999156713
2002,2,12,1.417017937
2002,2,13,2.016176224
2002,2,14,2.556028843
2002,2,15,2.851907253
2002,2,16,2.941371441
2002,2,17,2.41375947
2002,2,18,2.050839901
2002,2,19,2.158373117
2002,2,20,1.696704745
2002,2,21,1.180931807
2002,2,22,0.815925539
2002,2,23,0.252943218
2002,2,24,0.225598261
2002,2,25,0.128962561
2002,2,26,0.632818639
2002,2,27,1.227104545
2002,2,28,0.982616961
2002,3,1,1.901036978
2002,3,2,3.062627316
2002,3,3,2.989715099
