year,month,day,ao_index_cdas
1950,1,1,-2.5114431381225586
1950,1,2,-1.5054999589920044
1950,1,3,-1.1732383966445923
1950,1,4,-1.2505396604537964
1950,1,5,-0.1257430762052536
1950,1,6,-0.03618909791111946
1950,1,7,-0.7822170853614807
1950,1,8,-1.374638557434082
1950,1,9,-1.11006760597229
1950,1,10,-0.5954334139823914
1950,1,11,0.11568813771009445
1950,1,12,0.1471908837556839
1950,1,13,0.45472753047943115
1950,1,14,0.4525414705276489
1950,1,15,-0.1763947755098343
1950,1,16,-0.747154951095581
1950,1,17,-0.627898097038269
1950,1,18,-0.5077784657478333
1950,1,19,-0.5817511677742004
1950,1,20,-0.06204226613044739
1950,1,21,0.5147160291671753
1950,1,22,1.3950715065002441
1950,1,23,1.7386053800582886
1950,1,24,1.6289422512054443
1950,1,25,0.9120327830314636
1950,1,26,0.2661888897418976
1950,1,27,0.4243849515914917
1950,1,28,0.6801930665969849
1950,1,29,0.7984143495559692
1950,1,30,0.73058021068573
1950,1,31,1.1025573015213013
1950,2,1,1.2327709197998047
1950,2,2,0.8984151482582092
1950,2,3,0.7330590486526489
1950,2,4,1.1458429098129272
1950,2,5,1.4276130199432373
1950,2,6,1.3000303506851196
1950,2,7,1.256807804107666
1950,2,8,0.8760331273078918
1950,2,9,0.3612375557422638
1950,2,10,-0.030114218592643738
1950,2,11,-0.09287582337856293
1950,2,12,-0.11002742499113083
1950,2,13,-0.18459388613700867
1950,2,14,0.4165487289428711
1950,2,15,0.7775521874427795
1950,2,16,0.865464985370636
1950,2,17,0.899951696395874
1950,2,18,1.0480782985687256
1950,2,19,1.0413110256195068
1950,2,20,0.9426794648170471
1950,2,21,0.3528577387332916
1950,2,22,0.29244935512542725
1950,2,23,0.4910200238227844
1950,2,24,0.8417198061943054
1950,2,25,0.4027606248855591
1950,2,26,0.21378996968269348
1950,2,27,0.04588991403579712
1950,2,28,-0.5226956009864807
1950,3,1,-0.6091629266738892
1950,3,2,-0.41974321007728577
1950,3,3,0.8480934500694275
1950,3,4,2.342548370361328
1950,3,5,2.0793421268463135
1950,3,6,0.5595656037330627
1950,3,7,-0.4120069742202759
1950,3,8,-1.2119964361190796
1950,3,9,-1.508352279663086
1950,3,10,-1.1076704263687134
1950,3,11,-1.3722721338272095
1950,3,12,-2.102552890777588
1950,3,13,-2.513227939605713
1950,3,14,-2.6764402389526367
1950,3,15,-2.8539748191833496
1950,3,16,-2.0096447467803955
1950,3,17,-0.4624559283256531
1950,3,18,0.6337237358093262
1950,3,19,1.2643091678619385
1950,3,20,1.7478156089782715
1950,3,21,1.7727725505828857
1950,3,22,1.20396089553833
1950,3,23,1.1054813861846924
1950,3,24,0.5872192978858948
1950,3,25,-0.015571041963994503
1950,3,26,0.0826476663351059
1950,3,27,0.2113850861787796
1950,3,28,0.24661682546138763
1950,3,29,0.4297485053539276
1950,3,30,1.3768786191940308
1950,3,31,2.5368895530700684
1950,4,1,3.2795872688293457
1950,4,2,2.4150283336639404
1950,4,3,1.5000468492507935
1950,4,4,1.4160348176956177
1950,4,5,1.333879828453064
1950,4,6,0.7732699513435364
1950,4,7,0.611982524394989
1950,4,8,1.278158187866211
1950,4,9,1.2437106370925903
1950,4,10,0.6079034209251404
1950,4,11,-0.254582941532135
1950,4,12,-0.728286862373352
1950,4,13,0.10131210833787918
1950,4,14,0.8462245464324951
1950,4,15,1.524760365486145
1950,4,16,1.3505535125732422
1950,4,17,0.8160277009010315
1950,4,18,-0.03819634020328522
1950,4,19,-0.11861464381217957
1950,4,20,0.5255540609359741
1950,4,21,0.8562514781951904
1950,4,22,0.9800395965576172
1950,4,23,0.4784991443157196
1950,4,24,-0.06838101148605347
1950,4,25,-0.7418493628501892
1950,4,26,-1.3405193090438843
1950,4,27,-1.3175809383392334
1950,4,28,-1.017083764076233
1950,4,29,-0.43303316831588745
1950,4,30,0.17708954215049744
1950,5,1,0.42935362458229065
1950,5,2,0.3176644444465637
1950,5,3,0.1787719428539276
1950,5,4,0.08642199635505676
1950,5,5,-0.3679713010787964
1950,5,6,-0.741554856300354
1950,5,7,-1.0037050247192383
1950,5,8,-0.762812077999115
1950,5,9,-0.40652820467948914
1950,5,10,0.19435127079486847
1950,5,11,0.3662666380405426
1950,5,12,-0.0520334355533123
1950,5,13,-0.4947187900543213
1950,5,14,-0.9003364443778992
1950,5,15,-1.5386881828308105
1950,5,16,-1.7480549812316895
1950,5,17,-1.6080713272094727
1950,5,18,-1.0498226881027222
1950,5,19,-0.5394206643104553
1950,5,20,-0.2010684758424759
1950,5,21,-0.12736253440380096
1950,5,22,0.03577810153365135
1950,5,23,0.24669431149959564
1950,5,24,0.34650787711143494
1950,5,25,0.8500075936317444
1950,5,26,1.7653992176055908
1950,5,27,1.9809998273849487
1950,5,28,1.7613204717636108
1950,5,29,1.8762682676315308
1950,5,30,1.746791958808899
1950,5,31,1.496433973312378
1950,6,1,1.2159669399261475
1950,6,2,1.0018218755722046
1950,6,3,1.0003888607025146
1950,6,4,1.4469878673553467
1950,6,5,1.8205106258392334
1950,6,6,2.0914440155029297
1950,6,7,2.5174102783203125
1950,6,8,2.7639970779418945
1950,6,9,2.542637825012207
1950,6,10,2.181436061859131
1950,6,11,1.402423620223999
1950,6,12,0.7838058471679688
1950,6,13,0.44187846779823303
1950,6,14,0.0346979945898056
1950,6,15,-0.009277922101318836
1950,6,16,0.04411883279681206
1950,6,17,0.041338298469781876
1950,6,18,-0.13234582543373108
1950,6,19,-0.1312018185853958
1950,6,20,-0.44112372398376465
